time,avg_gossip,avg_vaccinated,avg_recovered,avg_severe
0.0,0.0,0.0,0.0,0.0
0.817192939325397,17.359226469133503,0.24313167038926417,0.909821811471146,0.4739473596612735
1.634385878650794,138.90569802060787,0.5044011410938731,1.7975042879449417,0.8364739888056008
2.4515788179761913,199.35709769170117,0.7368659524794949,2.8755121341926633,1.15
3.268771757301588,196.3587817213438,0.93,4.055925773283732,1.7
4.085964696626985,155.63075273878428,1.12,5.266814856360611,2.088363507257944
4.9031576359523825,119.44712163178284,1.46,6.53,2.5601749334508836
5.720350575277779,106.77959960419206,1.76,8.056046715477244,3.01
6.537543514603176,97.14702197991257,2.07,9.38,3.422058969861981
7.354736453928574,92.82348681092095,2.32753333938894,10.673338542088954,3.78
8.17192939325397,88.76189656420958,2.6991543296711855,11.9564838299279,4.06
8.989122332579367,84.50728356343453,3.12,13.347279307477002,4.37
9.806315271904765,82.85069425159585,3.550470347303446,14.63865870896764,4.73
10.623508211230162,82.17016766613608,3.792040650860748,15.84197096236694,5.033701056475073
11.440701150555558,81.97458182080734,4.2,17.32062406548144,5.317623456423991
12.257894089880956,77.60033930054479,4.5,18.66601507491987,5.59
13.075087029206353,75.8197734181875,4.76,19.88857027664475,5.87
13.89227996853175,74.58386656292996,5.039124583515425,21.13,6.21
14.709472907857148,75.15079232891622,5.36,22.48657165274575,6.53
15.526665847182544,72.62149260413982,5.72,23.670641393547736,6.838088318760901
16.34385878650794,72.72604136165765,6.01,24.713494198320713,7.09
17.16105172583334,66.70405985015192,6.428117342352222,26.003187331498598,7.29
17.978244665158734,65.39262328238489,6.74,27.315262226442556,7.477221322675916
18.795437604484132,63.12302626445201,7.136106181669918,28.41203092335937,7.758080848906478
19.61263054380953,64.39406102548116,7.487294588552471,29.5379735596933,8.05
20.429823483134925,65.13818142902572,7.77,30.6895069755623,8.306514930791014
21.247016422460323,63.47709000642248,8.13,31.86,8.542854442311592
22.06420936178572,60.023766239063306,8.46,32.95545388743632,8.83
22.881402301111116,57.069147131586334,8.83,33.97455273647521,9.02788400202622
23.698595240436514,55.34972210755919,9.11,34.97504276929364,9.27
24.515788179761913,56.736260264616796,9.43,36.06103288437463,9.41
25.332981119087307,55.21512420247464,9.764680343215135,37.018657783604496,9.62
26.150174058412706,54.80835690842068,10.13,38.1781869595855,9.76
26.967366997738104,54.344568922527216,10.327083947942748,38.90896133718261,9.94
27.7845599370635,53.52021303896018,10.579393348431713,39.68666612691885,10.204516461889858
28.601752876388897,55.35842417822121,10.87,40.69215112952224,10.38
29.418945815714295,56.193648339116045,11.18,41.787886578847235,10.55
30.23613875503969,49.982029089185005,11.48759200686909,42.90903432028027,10.76878037986038
31.053331694365088,44.9893435809674,11.87,43.957912901733216,11.04
31.870524633690486,46.57624449862196,12.19,44.93541612165358,11.316167204707014
32.68771757301588,55.38535319082769,12.52,45.91085976315286,11.59
33.504910512341276,52.00841686850376,12.796486267323417,46.63499354529544,11.76
34.32210345166668,46.338712011922055,13.153848520787374,47.425854544164984,12.02
35.13929639099207,45.90253894820971,13.41,48.37231224297606,12.183674800799235
35.95648933031747,44.87954390477044,13.706573928841758,49.33722127551511,12.382104410899988
36.77368226964287,46.404808384838006,14.005120598883844,50.17222742082677,12.66033454442072
37.590875208968264,45.51421945768239,14.355398664284685,51.03273939629044,12.82
38.40806814829366,50.13078571201516,14.63,51.845068718988415,13.02558398534587
39.22526108761906,46.3432347632769,14.86856849339959,52.718346851464624,13.21
40.042454026944455,46.16893232774889,15.1,53.5348426951636,13.381067707273612
40.85964696626985,44.724735701127145,15.296491542112895,54.285795873706704,13.57
41.67683990559525,44.107237860412035,15.618189147254585,54.996871085694785,13.73
42.494032844920646,42.53924111243619,15.869197527589991,55.64478944735666,13.87
43.31122578424604,41.951412657300686,16.22,56.20475620365777,13.95
44.12841872357144,47.380980021783905,16.584400020188763,57.0484409755695,14.04
44.94561166289684,42.40072170456054,16.785134166016793,57.9270523506275,14.175648542464574
45.76280460222223,39.38847327921544,16.963247550002478,58.58344277533641,14.38
46.579997541547634,39.52917187081782,17.21,59.241992070564166,14.55576503458918
47.39719048087303,39.8975269110719,17.44,59.95202366317011,14.740499064063979
48.21438342019842,38.52383760643802,17.71342045701241,60.75211180817982,14.94
49.031576359523825,39.26781253819531,17.95263814445632,61.54650509144451,15.06
49.84876929884922,38.22347725764453,18.152038364664694,62.27416076939453,15.24828392318135
50.665962238174615,37.04927053414644,18.35855970585192,62.99669318360549,15.405851735672806
51.48315517750002,39.34345506420445,18.497413623673147,63.87325799344577,15.55
52.30034811682541,43.55327907585584,18.749716767095613,64.5280346759892,15.7373401334557
53.117541056150806,42.03347114715436,19.015152839558596,65.35268186790981,15.922754953931552
53.93473399547621,41.37262408802995,19.266462410458917,66.08519684617244,16.118033736515724
54.7519269348016,39.2029783080766,19.57495193950759,66.7202158349767,16.300332516088297
55.569119874127,35.69363026248483,19.891854984705745,67.45210326446696,16.438557221806676
56.3863128134524,34.84815099678099,20.06722750455925,68.27999636405846,16.612089037969046
57.203505752777794,35.15075252542417,20.339274879138284,68.99029437954388,16.749874161229933
58.02069869210319,35.27767263916483,20.537597628332325,69.6012041917224,16.867348792809636
58.83789163142859,34.9869214412342,20.781078265073447,70.38782005039262,16.995769447500223
59.655084570753985,37.17478756573681,21.010035094361278,71.14572618794168,17.11
60.47227751007938,42.229769805965404,21.300664297736038,71.72455185927433,17.20154922099744
61.28947044940478,40.20254977736273,21.49095635405242,72.16040196184066,17.298742619296714
62.106663388730176,37.51060720068014,21.726671842989663,72.86733785896469,17.45
62.92385632805557,35.95150763051407,21.85,73.39199486098164,17.54
63.74104926738097,33.918733374351106,22.05407355941891,73.93141097777348,17.663734121336276
64.55824220670637,33.063912972853956,22.286576875676502,74.40904116066626,17.79
65.37543514603176,34.583156955695046,22.42809382774541,74.93285918029227,17.86306872619268
66.19262808535716,35.78802729153885,22.565967882353398,75.37568112293047,17.94452571087673
67.00982102468255,35.14362887450764,22.767919850500917,75.9502183035299,18.08428327316923
67.82701396400796,35.46439264632616,22.939017925809523,76.36963941403106,18.14
68.64420690333336,33.365048989061016,23.103538802387494,76.7201766911398,18.24
69.46139984265875,33.26195035961982,23.404177010207913,77.11105783706982,18.283521142886176
70.27859278198414,35.47290612602041,23.53802992772905,77.57179873990157,18.33
71.09578572130954,35.16374211836038,23.686495629161303,77.92817874897236,18.37
71.91297866063493,33.3213256599482,23.820381722431783,78.39709087433803,18.467868421204127
72.73017159996034,32.618660845674235,24.022351057902643,78.76707873979635,18.54
73.54736453928574,32.65004794339055,24.16241507618323,79.331805753385,18.6
74.36455747861113,32.62914063921124,24.31907178359897,79.7502711221211,18.6696231565873
75.18175041793653,34.72326908018213,24.52701833088581,80.18285946127872,18.759789927851692
75.99894335726192,35.38039405715966,24.708541515209298,80.66963450396662,18.9
76.81613629658732,35.06159758394835,24.9,81.09792726840472,18.96
77.63332923591273,34.035290712774426,25.078221139174747,81.52030045833853,19.01
78.45052217523812,36.263762678160035,25.183300574153563,81.82792258866415,19.09
79.26771511456352,33.267053868845444,25.42180265253728,82.10813417633071,19.17
80.08490805388891,31.972229165965526,25.557179505097483,82.49640280167796,19.27
80.9021009932143,31.371510577756126,25.659479087317166,82.8379293454841,19.311684442682466
81.7192939325397,30.72173496797548,25.795002883431003,83.20667429401674,19.36
82.53648687186511,30.311061798140877,25.87190886358321,83.52737101164003,19.418447669217745
83.3536798111905,30.954702261142735,25.939950529373444,83.7971722419572,19.45
84.1708727505159,31.16893225327371,26.055182897356303,84.03113819591358,19.49072980435652
84.98806568984129,30.639765060979407,26.14687473381814,84.25314935006205,19.57592213833223
85.80525862916669,30.571668953115836,26.231727043265533,84.52520100553123,19.65
86.62245156849208,30.81652678037608,26.34151891104304,84.7443271453048,19.68
87.43964450781749,31.919548492126268,26.421111836738483,84.93212349129804,19.690809761726015
88.25683744714289,32.59163046300876,26.468142710742658,85.10621656512203,19.7
89.07403038646828,32.915858240687115,26.53,85.35303650469919,19.71
89.89122332579367,31.35781452091533,26.55018914666026,85.51421130029296,19.74
90.70841626511907,30.97661734650139,26.586630592752456,85.63777395247631,19.75
91.52560920444446,30.426671437061255,26.632062343711006,85.76237948318548,19.83
92.34280214376987,30.5081300646777,26.712742486176385,85.9097488572143,19.84
93.15999508309527,31.085086250585128,26.73149934878028,86.09058913198398,19.85
93.97718802242066,30.326629450671494,26.79182689931029,86.21057504334105,19.89
94.79438096174606,30.129649125683002,26.826146873674865,86.35407925369768,19.92
95.61157390107145,29.9904853005459,26.858564102347188,86.50895818642745,19.92
96.42876684039685,29.895171249149268,26.908312698436113,86.63212401661217,19.92
97.24595977972226,29.809733831730394,26.94789401029087,86.76019541325688,19.93
98.06315271904765,29.819182715776115,26.976131208268207,86.85610327014416,19.93
98.88034565837305,30.0022522439141,27.00389611173313,86.9447995374081,19.977666144862773
99.69753859769844,30.984246148640054,27.02587391013313,87.04062805945941,19.98
100.51473153702383,30.407682355946513,27.061623687272117,87.06748476040346,19.99
101.33192447634923,30.08456963388586,27.09659438374532,87.16769916474303,19.99
102.14911741567464,29.830675814742055,27.14045067916974,87.17901706788376,19.99
102.96631035500003,29.763528671723176,27.176111073708107,87.19888828336417,19.993795299880784
103.78350329432543,29.65020691175725,27.18715752503346,87.23237470142834,20.0
104.60069623365082,29.63767913080036,27.20608505620037,87.28379633042158,20.0
105.41788917297622,29.637435285737766,27.216412606730373,87.32842466106992,20.0
106.23508211230161,29.58227772165534,27.22674015726038,87.34490509466121,20.0
107.052275051627,29.57,27.228025726776032,87.38832097962357,20.0
107.86946799095242,29.57,27.230424310440082,87.4160784488507,20.0
108.68666093027781,29.577032957973532,27.232822894104125,87.42838349559875,20.0
109.5038538696032,29.63,27.235221477768167,87.44465860028853,20.01
110.3210468089286,29.6,27.244694359209053,87.45,20.01
111.138239748254,29.593719482160164,27.25630159309256,87.45093633802702,20.01
111.95543268757939,29.61874156026933,27.25903301097042,87.45727363846122,20.01
112.7726256269048,29.61610314159044,27.25936056150043,87.46388974914098,20.01
113.58981856623019,29.58,27.259688112030435,87.48817555043988,20.01
114.40701150555559,29.58,27.26,87.4926451094022,20.01
115.22420444488098,29.604288322201263,27.26,87.50816705784258,20.03
116.04139738420638,29.59,27.26,87.53923119563217,20.03
116.85859032353177,29.59132448259732,27.26,87.54974070256378,20.03
117.67578326285718,29.59,27.27,87.56288126629487,20.03
118.49297620218258,29.58,27.27,87.56764692838539,20.03
119.31016914150797,29.58,27.27,87.57368174379464,20.03
120.12736208083336,29.58,27.27,87.57778952210438,20.03
120.94455502015876,29.58,27.27,87.5788947610522,20.03
121.76174795948415,29.58,27.27,87.58,20.03
